product_id,category,brand,product,market,status,quality_tier,evidence_tier,serving,epa_mg,dha_mg,form,independent_signal,last_checked,public_use
omega3-jarrow-balance,omega3,Jarrow Formulas,EPA-DHA Balance,US,reviewed,P3,T1,2 softgels,800,400,ethyl-esters,current label plus manufacturer process claims,2026-07-20,not-verified
omega3-blueprint-current,omega3,Blueprint Bryan Johnson,Omega-3,US,candidate,pending,T1,2 veggie capsules,400,400,algal-oil,public COA available but not fully audited,2026-07-20,current-explicit-bryan


creatine-thorne,creatine,Thorne,Creatine (Powder),US,reviewed,P1,T1,1 scoop (5 g),,,creatine-monohydrate,NSF Certified for Sport - current listing verified 2026-07-21,2026-07-21,needs-source-check-bryan-early
creatine-momentous,creatine,Momentous,Creatine Monohydrate (Powder),US,reviewed,P1,T1,1 scoop (5 g),,,creatine-monohydrate,NSF Certified for Sport - current listing verified 2026-07-21,2026-07-21,sponsored-huberman
creatine-now,creatine,NOW Foods,Creatine Monohydrate (Powder) - Sports line,US,reviewed,P2,T1,1 scoop (5 g),,,creatine-monohydrate,GMP manufacturer; Sports line Informed Sport certified (banned-substance batch testing; retailer listing verified 2026-07-26),2026-07-26,my-purchase
creatine-life-extension,creatine,Life Extension,Creatine (Powder),US,reviewed,P2,T1,5 g/serving,,,creatine-monohydrate,brand transparency; no product-level certification found,2026-07-21,not-verified
creatine-on-micronized,creatine,Optimum Nutrition,Micronized Creatine (Powder),US,reviewed,P2,T1,1 scoop (3.4 g),,,creatine-monohydrate-micronized,Informed Sport certified,2026-07-21,not-verified
creatine-bulksupplements,creatine,BulkSupplements,Creatine Monohydrate (Powder),US,reviewed,P3,T1,5 g/serving,,,creatine-monohydrate,third-party testing claims; no product-level certification,2026-07-21,not-verified
mg-thorne-bisglycinate,magnesium,Thorne,Magnesium Bisglycinate (Powder),US,reviewed,P1,T2,1 scoop (3.77 g) = 200 mg elemental Mg,,,magnesium-bisglycinate,NSF Certified - current listing verified 2026-07-21,2026-07-21,needs-source-check-bryan-early
mg-thorne-glycinate-cap,magnesium,Thorne,Magnesium Glycinate (Capsule),US,reviewed,P1,T2,4 capsules = 120 mg elemental Mg,,,magnesium-glycinate,NSF Certified - current listing verified 2026-07-21,2026-07-21,not-verified
mg-momentous-threonate,magnesium,Momentous,Magnesium Threonate (Capsule),US,reviewed,P1,T2,3 capsules = 145 mg elemental Mg,,,magnesium-threonate-magtein,NSF Certified - current listing verified 2026-07-21,2026-07-21,sponsored-huberman
mg-momentous-bisglycinate,magnesium,Momentous,Magnesium Bisglycinate (Capsule),US,reviewed,P1,T2,2 capsules = 200 mg elemental Mg,,,magnesium-bisglycinate,NSF Certified - current listing verified 2026-07-21,2026-07-21,not-verified
mg-doctors-best,magnesium,Doctor's Best,High Absorption Magnesium (Tablet),US,reviewed,P2,T2,1 tablet = 100 mg elemental Mg (label suggested use 2 tablets/day = 200 mg),,,magnesium-albion-traacs-chelate,Albion TRAACS patented chelate raw material; no product-level certification,2026-07-26,my-purchase
mg-now-glycinate,magnesium,NOW Foods,Magnesium Glycinate (Tablet),US,reviewed,P2,T2,1 tablet = 100 mg elemental Mg,,,magnesium-glycinate,GMP manufacturer; no product-level certification,2026-07-21,not-verified
mg-natural-vitality-calm,magnesium,Natural Vitality,CALM (Powder),US,reviewed,P2,T2,1 serving = 150 mg elemental Mg,,,magnesium-citrate,classic product; long market presence; no product-level certification,2026-07-21,not-verified
mg-life-extension-caps,magnesium,Life Extension,Magnesium Caps (Capsule),US,reviewed,P3,T2,3 capsules = 250 mg elemental Mg,,,magnesium-mixed-citrate-oxide-succinate,mixed forms include oxide (low absorption); no product-level certification,2026-07-21,not-verified
vd3-thorne-d3k2-liquid,vitamin-d3,Thorne,Vitamin D/K2 Liquid,US,reviewed,P1,T2,6 drops = D3 1000 IU + K2 MK-7 200 mcg,,,cholecalciferol-plus-menaquinone-7,NSF Certified - current listing verified 2026-07-21,2026-07-21,needs-source-check-bryan-early
vd3-momentous-2000,vitamin-d3,Momentous,Vitamin D3 2000 IU (Capsule),US,reviewed,P1,T2,1 capsule = D3 2000 IU,,,cholecalciferol,NSF Certified - current listing verified 2026-07-21,2026-07-21,not-verified
vd3-now-2000,vitamin-d3,NOW Foods,Vitamin D3 2000 IU (Softgel),US,reviewed,P2,T2,1 softgel = D3 2000 IU,,,cholecalciferol,GMP manufacturer; no product-level certification,2026-07-21,not-verified
vd3-life-extension,vitamin-d3,Life Extension,Vitamin D3 (Capsule),US,reviewed,P2,T2,1 capsule = D3 2000 or 5000 IU,,,cholecalciferol,brand transparency; no product-level certification found,2026-07-21,not-verified
vd3-sports-research-d3k2,vitamin-d3,Sports Research,Vitamin D3 + K2 (Softgel),US,reviewed,P2,T2,1 softgel = D3 5000 IU + K2 MK-7 100 mcg,,,cholecalciferol-plus-menaquinone-7,coconut oil base; no product-level certification,2026-07-21,not-verified
vd3-now-d3k2,vitamin-d3,NOW Foods,Vitamin D3 & K2 (Capsule),US,reviewed,P2,T2,1 capsule = D3 1000 IU + K2 MK-4 45 mcg,,,cholecalciferol-plus-menaquinone-4,GMP manufacturer; moderate dose suitable without blood test; K2 as MK-4 (shorter half-life than MK-7); no product-level certification,2026-07-26,my-purchase
nr-tru-niagen,nr,Tru Niagen (ChromaDex),Tru Niagen NR 300 mg (Capsule),US,reviewed,P1,T3,1 capsule = NR 300 mg,,,nicotinamide-riboside-chloride,NR clinical trials use this raw material (Niagen); current 300 mg label rechecked,2026-07-27,not-verified
nr-elysium-basis,nr,Elysium Health,Basis (NR 250 mg + Pterostilbene 50 mg),US,reviewed,P2,T3,2 capsules = NR 250 mg + pterostilbene 50 mg,,,nicotinamide-riboside-plus-pterostilbene,independent Basis combo trial; cannot isolate NR effect,2026-07-21,not-verified
nmn-prohealth,nmn,ProHealth Longevity,NMN Pro (Powder/Capsule),US,reviewed,P2,T3,1 serving = NMN 500 mg,,,nicotinamide-mononucleotide,Uthever raw material; batch COA provided by manufacturer,2026-07-21,not-verified
nmn-donotage,nmn,DoNotAge,NMN (Powder),UK-and-international,reviewed,P2,T3,1 serving = NMN 500 mg,,,nicotinamide-mononucleotide,third-party testing reports; UK brand,2026-07-21,not-verified
spermidine-primeadine-original,spermidine,Oxford Healthspan,Primeadine Original (Capsules),US-and-international,reviewed,P2,T3,1 serving = food-derived spermidine 1 mg,,,defatted-wheat-germ-extract,2026 lot-level COA page covers potency heavy metals and microbiology,2026-07-27,leslie-kenny
spermidine-cgn-rice-germ-1mg,spermidine,California Gold Nutrition,Spermidine Rice Germ Extract 1 mg 90 Veggie Capsules iHerb 130825,international-online,reviewed,P2,T3,1 capsule = spermidine 1 mg,,,rice-germ-extract,current iHerb listing and direct marketplace fulfillment; selected purchase SKU,2026-07-27,my-planned-purchase
ergothioneine-life-extension,ergothioneine,Life Extension,Essential Youth L-Ergothioneine 5 mg Item 02431,US,reviewed,P2,T4,1 capsule = L-ergothioneine 5 mg,,,ergoactive-l-ergothioneine,current official label; finished-product COA available on request but no physical lot audited,2026-07-27,not-verified
ca-akg-prohealth,ca-akg,ProHealth Longevity,Calcium AKG Longevity 500 mg Capsules SKU PH591,US,reviewed,P2,T4,2 capsules = Ca-AKG 1000 mg + calcium 200 mg,,,calcium-alpha-ketoglutarate,current official label and third-party testing claim; physical lot not audited,2026-07-27,not-verified
